"Exchange Rate (XR) by Country, Indicator and Month"

"Country","Month","Exchange Rate, NCU per Euro"
"Malta","2001M05",1.0000
"Malta","2001M06",1.0000
"Malta","2001M07",1.0000
"Malta","2001M08",1.0000
"Malta","2001M09",1.0000
"Malta","2001M10",1.0000
"Malta","2001M11",1.0000
"Malta","2001M12",1.0000
"Malta","2002M01",1.0000
"Malta","2002M02",1.0000
"Malta","2002M03",1.0000
"Malta","2002M04",1.0000
"Malta","2002M05",1.0000
"Malta","2002M06",1.0000
"Malta","2002M07",1.0000
"Malta","2002M08",1.0000
"Malta","2002M09",1.0000
"Malta","2002M10",1.0000
"Malta","2002M11",1.0000
"Malta","2002M12",1.0000
"Malta","2003M01",1.0000
"Malta","2003M02",1.0000
"Malta","2003M03",1.0000
"Malta","2003M04",1.0000
"Malta","2003M05",1.0000
"Malta","2003M06",1.0000
"Malta","2003M07",1.0000
"Malta","2003M08",1.0000
"Malta","2003M09",1.0000
"Malta","2003M10",1.0000
"Malta","2003M11",1.0000
"Malta","2003M12",1.0000
"Malta","2004M01",1.0000
"Malta","2004M02",1.0000
"Malta","2004M03",1.0000
"Malta","2004M04",1.0000
"Malta","2004M05",1.0000
"Malta","2004M06",1.0000
"Malta","2004M07",1.0000
"Malta","2004M08",1.0000
"Malta","2004M09",1.0000
"Malta","2004M10",1.0000
"Malta","2004M11",1.0000
"Malta","2004M12",1.0000
"Malta","2005M01",1.0000
"Malta","2005M02",1.0000
"Malta","2005M03",1.0000
"Malta","2005M04",1.0000
"Malta","2005M05",1.0000
"Malta","2005M06",1.0000
"Malta","2005M07",1.0000
"Malta","2005M08",1.0000
"Malta","2005M09",1.0000
"Malta","2005M10",1.0000
"Malta","2005M11",1.0000
"Malta","2005M12",1.0000
"Malta","2006M01",1.0000
"Malta","2006M02",1.0000
"Malta","2006M03",1.0000
"Malta","2006M04",1.0000
"Malta","2006M05",1.0000
"Malta","2006M06",1.0000
"Malta","2006M07",1.0000
"Malta","2006M08",1.0000
"Malta","2006M09",1.0000
"Malta","2006M10",1.0000
"Malta","2006M11",1.0000
"Malta","2006M12",1.0000
"Malta","2007M01",1.0000
"Malta","2007M02",1.0000
"Malta","2007M03",1.0000
"Malta","2007M04",1.0000
"Malta","2007M05",1.0000
"Malta","2007M06",1.0000
"Malta","2007M07",1.0000
"Malta","2007M08",1.0000
"Malta","2007M09",1.0000
"Malta","2007M10",1.0000
"Malta","2007M11",1.0000
"Malta","2007M12",1.0000
"Malta","2008M01",1.0000
"Malta","2008M02",1.0000
"Malta","2008M03",1.0000
"Malta","2008M04",1.0000
"Malta","2008M05",1.0000
"Malta","2008M06",1.0000
"Malta","2008M07",1.0000
"Malta","2008M08",1.0000
"Malta","2008M09",1.0000
"Malta","2008M10",1.0000
"Malta","2008M11",1.0000
"Malta","2008M12",1.0000
"Malta","2009M01",1.0000
"Malta","2009M02",1.0000
"Malta","2009M03",1.0000
"Malta","2009M04",1.0000
"Malta","2009M05",1.0000
"Malta","2009M06",1.0000
"Malta","2009M07",1.0000
"Malta","2009M08",1.0000
"Malta","2009M09",1.0000
"Malta","2009M10",1.0000
"Malta","2009M11",1.0000
"Malta","2009M12",1.0000
"Malta","2010M01",1.0000
"Malta","2010M02",1.0000
"Malta","2010M03",1.0000
"Malta","2010M04",1.0000
"Malta","2010M05",1.0000
"Malta","2010M06",1.0000
"Malta","2010M07",1.0000
"Malta","2010M08",1.0000
"Malta","2010M09",1.0000
"Malta","2010M10",1.0000
"Malta","2010M11",1.0000
"Malta","2010M12",1.0000
"Malta","2011M01",1.0000
"Malta","2011M02",1.0000
"Malta","2011M03",1.0000
"Malta","2011M04",1.0000
"Malta","2011M05",1.0000
"Malta","2011M06",1.0000
"Malta","2011M07",1.0000
"Malta","2011M08",1.0000
"Malta","2011M09",1.0000
"Malta","2011M10",1.0000
"Malta","2011M11",1.0000
"Malta","2011M12",1.0000
"Malta","2012M01",1.0000
"Malta","2012M02",1.0000
"Malta","2012M03",1.0000
"Malta","2012M04",1.0000
"Malta","2012M05",1.0000
"Malta","2012M06",1.0000
"Malta","2012M07",1.0000
"Malta","2012M08",1.0000
"Malta","2012M09",1.0000
"Malta","2012M10",1.0000
"Malta","2012M11",1.0000
"Malta","2012M12",1.0000
"Malta","2013M01",1.0000
"Malta","2013M02",1.0000
"Malta","2013M03",1.0000
"Malta","2013M04",1.0000
"Malta","2013M05",1.0000
"Malta","2013M06",1.0000
"Malta","2013M07",1.0000
"Malta","2013M08",1.0000
"Malta","2013M09",1.0000
"Malta","2013M10",1.0000
"Malta","2013M11",1.0000
"Malta","2013M12",1.0000
"Malta","2014M01",1.0000
"Malta","2014M02",1.0000
"Malta","2014M03",1.0000
"Malta","2014M04",1.0000
"Malta","2014M05",1.0000
"Malta","2014M06",1.0000
"Malta","2014M07",1.0000
"Malta","2014M08",1.0000
"Malta","2014M09",1.0000
"Malta","2014M10",1.0000
"Malta","2014M11",1.0000
"Malta","2014M12",1.0000
"Malta","2015M01",1.0000
"Malta","2015M02",1.0000
"Malta","2015M03",1.0000
"Malta","2015M04",1.0000
"Malta","2015M05",1.0000
"Malta","2015M06",1.0000
"Malta","2015M07",1.0000
"Malta","2015M08",1.0000
"Malta","2015M09",1.0000
"Malta","2015M10",1.0000
"Malta","2015M11",1.0000
"Malta","2015M12",1.0000
"Malta","2016M01",1.0000
"Malta","2016M02",1.0000
"Malta","2016M03",1.0000
"Malta","2016M04",1.0000
"Malta","2016M05",1.0000
"Malta","2016M06",1.0000
"Malta","2016M07",1.0000
"Malta","2016M08",1.0000
"Malta","2016M09",1.0000
"Malta","2016M10",1.0000
"Malta","2016M11",1.0000
"Malta","2016M12",1.0000
"Malta","2017M01",1.0000
"Malta","2017M02",1.0000
"Malta","2017M03",1.0000
"Malta","2017M04",1.0000
"Malta","2017M05",1.0000
"Malta","2017M06",1.0000
"Malta","2017M07",1.0000
"Malta","2017M08",1.0000
"Malta","2017M09",1.0000
"Malta","2017M10",1.0000
"Malta","2017M11",1.0000
"Malta","2017M12",1.0000
"Malta","2018M01",1.0000
"Malta","2018M02",1.0000
"Malta","2018M03",1.0000
"Malta","2018M04",1.0000
"Malta","2018M05",1.0000
"Malta","2018M06",1.0000
"Malta","2018M07",1.0000
"Malta","2018M08",1.0000
"Malta","2018M09",1.0000
"Malta","2018M10",1.0000
"Malta","2018M11",1.0000
"Malta","2018M12",1.0000
"Malta","2019M01",1.0000
"Malta","2019M02",1.0000
"Malta","2019M03",1.0000
"Malta","2019M04",1.0000
"Malta","2019M05",1.0000
"Malta","2019M06",1.0000
"Malta","2019M07",1.0000
"Malta","2019M08",1.0000
"Malta","2019M09",1.0000
"Malta","2019M10",1.0000
"Malta","2019M11",1.0000
"Malta","2019M12",1.0000
"Malta","2020M01",1.0000
"Malta","2020M02",1.0000
"Malta","2020M03",1.0000
"Malta","2020M04",1.0000
"Malta","2020M05",1.0000
"Malta","2020M06",1.0000
"Malta","2020M07",1.0000
"Malta","2020M08",1.0000
"Malta","2020M09",1.0000
"Malta","2020M10",1.0000
"Malta","2020M11",1.0000
"Malta","2020M12",1.0000
"Malta","2021M01",1.0000
"Malta","2021M02",1.0000
"Malta","2021M03",1.0000
"Malta","2021M04",1.0000
"Malta","2021M05",1.0000
"Malta","2021M06",1.0000
"Malta","2021M07",1.0000
"Malta","2021M08",1.0000
"Malta","2021M09",1.0000
"Malta","2021M10",1.0000
"Malta","2021M11",1.0000
"Malta","2021M12",1.0000
"Malta","2022M01",1.0000
"Malta","2022M02",1.0000
"Malta","2022M03",1.0000
"Malta","2022M04",1.0000
"Malta","2022M05",1.0000
"Malta","2022M06",1.0000
"Malta","2022M07",1.0000
"Malta","2022M08",1.0000
"Malta","2022M09",1.0000
"Malta","2022M10",1.0000
"Malta","2022M11",1.0000
"Malta","2022M12",1.0000
"Malta","2023M01",1.0000
"Malta","2023M02",1.0000
"Malta","2023M03",1.0000
"Malta","2023M04",1.0000
"Malta","2023M05",1.0000
"Malta","2023M06",1.0000
"Malta","2023M07",1.0000
"Malta","2023M08",1.0000
"Malta","2023M09",1.0000
"Malta","2023M10",1.0000
"Malta","2023M11",1.0000
"Malta","2023M12",1.0000
"Malta","2024M01",1.0000
"Malta","2024M02",1.0000
"Malta","2024M03",1.0000
"Malta","2024M04",1.0000
"Malta","2024M05",1.0000
"Malta","2024M06",1.0000
"Malta","2024M07",1.0000
"Malta","2024M08",1.0000
"Malta","2024M09",1.0000
"Malta","2024M10",1.0000
"Malta","2024M11",1.0000
"Malta","2024M12",1.0000
"Monaco","2000M01",1.0000
"Monaco","2000M02",1.0000
"Monaco","2000M03",1.0000
"Monaco","2000M04",1.0000
"Monaco","2000M05",1.0000
"Monaco","2000M06",1.0000
"Monaco","2000M07",1.0000
"Monaco","2000M08",1.0000
"Monaco","2000M09",1.0000
"Monaco","2000M10",1.0000
"Monaco","2000M11",1.0000
"Monaco","2000M12",1.0000
"Monaco","2001M01",1.0000
"Monaco","2001M02",1.0000
"Monaco","2001M03",1.0000
"Monaco","2001M04",1.0000
"Monaco","2001M05",1.0000
"Monaco","2001M06",1.0000
"Monaco","2001M07",1.0000
"Monaco","2001M08",1.0000
"Monaco","2001M09",1.0000
"Monaco","2001M10",1.0000
"Monaco","2001M11",1.0000
"Monaco","2001M12",1.0000
"Monaco","2002M01",1.0000
"Monaco","2002M02",1.0000
"Monaco","2002M03",1.0000
"Monaco","2002M04",1.0000
"Monaco","2002M05",1.0000
"Monaco","2002M06",1.0000
"Monaco","2002M07",1.0000
"Monaco","2002M08",1.0000
"Monaco","2002M09",1.0000
"Monaco","2002M10",1.0000
"Monaco","2002M11",1.0000
"Monaco","2002M12",1.0000
"Monaco","2003M01",1.0000
"Monaco","2003M02",1.0000
"Monaco","2003M03",1.0000
"Monaco","2003M04",1.0000
"Monaco","2003M05",1.0000
"Monaco","2003M06",1.0000
"Monaco","2003M07",1.0000
"Monaco","2003M08",1.0000
"Monaco","2003M09",1.0000
"Monaco","2003M10",1.0000
"Monaco","2003M11",1.0000
"Monaco","2003M12",1.0000
"Monaco","2004M01",1.0000
"Monaco","2004M02",1.0000
"Monaco","2004M03",1.0000
"Monaco","2004M04",1.0000
"Monaco","2004M05",1.0000
"Monaco","2004M06",1.0000
"Monaco","2004M07",1.0000
"Monaco","2004M08",1.0000
"Monaco","2004M09",1.0000
"Monaco","2004M10",1.0000
"Monaco","2004M11",1.0000
"Monaco","2004M12",1.0000
"Monaco","2005M01",1.0000
"Monaco","2005M02",1.0000
"Monaco","2005M03",1.0000
"Monaco","2005M04",1.0000
"Monaco","2005M05",1.0000
"Monaco","2005M06",1.0000
"Monaco","2005M07",1.0000
"Monaco","2005M08",1.0000
"Monaco","2005M09",1.0000
"Monaco","2005M10",1.0000
"Monaco","2005M11",1.0000
"Monaco","2005M12",1.0000
"Monaco","2006M01",1.0000
"Monaco","2006M02",1.0000
"Monaco","2006M03",1.0000
"Monaco","2006M04",1.0000
"Monaco","2006M05",1.0000
"Monaco","2006M06",1.0000
"Monaco","2006M07",1.0000
"Monaco","2006M08",1.0000
"Monaco","2006M09",1.0000
"Monaco","2006M10",1.0000
"Monaco","2006M11",1.0000
"Monaco","2006M12",1.0000
"Monaco","2007M01",1.0000
"Monaco","2007M02",1.0000
"Monaco","2007M03",1.0000
"Monaco","2007M04",1.0000
"Monaco","2007M05",1.0000
"Monaco","2007M06",1.0000
"Monaco","2007M07",1.0000
"Monaco","2007M08",1.0000
"Monaco","2007M09",1.0000
"Monaco","2007M10",1.0000
"Monaco","2007M11",1.0000
"Monaco","2007M12",1.0000
"Monaco","2008M01",1.0000
"Monaco","2008M02",1.0000
"Monaco","2008M03",1.0000
"Monaco","2008M04",1.0000
"Monaco","2008M05",1.0000
"Monaco","2008M06",1.0000
"Monaco","2008M07",1.0000
"Monaco","2008M08",1.0000
"Monaco","2008M09",1.0000
"Monaco","2008M10",1.0000
"Monaco","2008M11",1.0000
"Monaco","2008M12",1.0000
"Monaco","2009M01",1.0000
"Monaco","2009M02",1.0000
"Monaco","2009M03",1.0000
"Monaco","2009M04",1.0000
"Monaco","2009M05",1.0000
"Monaco","2009M06",1.0000
"Monaco","2009M07",1.0000
"Monaco","2009M08",1.0000
"Monaco","2009M09",1.0000
"Monaco","2009M10",1.0000
"Monaco","2009M11",1.0000
"Monaco","2009M12",1.0000
"Monaco","2010M01",1.0000
"Monaco","2010M02",1.0000
"Monaco","2010M03",1.0000
"Monaco","2010M04",1.0000
"Monaco","2010M05",1.0000
"Monaco","2010M06",1.0000
"Monaco","2010M07",1.0000
"Monaco","2010M08",1.0000
"Monaco","2010M09",1.0000
"Monaco","2010M10",1.0000
"Monaco","2010M11",1.0000
"Monaco","2010M12",1.0000
"Monaco","2011M01",1.0000
"Monaco","2011M02",1.0000
"Monaco","2011M03",1.0000
"Monaco","2011M04",1.0000
"Monaco","2011M05",1.0000
"Monaco","2011M06",1.0000
"Monaco","2011M07",1.0000
"Monaco","2011M08",1.0000
"Monaco","2011M09",1.0000
"Monaco","2011M10",1.0000
"Monaco","2011M11",1.0000
"Monaco","2011M12",1.0000
"Monaco","2012M01",1.0000
"Monaco","2012M02",1.0000
"Monaco","2012M03",1.0000
"Monaco","2012M04",1.0000
"Monaco","2012M05",1.0000
"Monaco","2012M06",1.0000
"Monaco","2012M07",1.0000
"Monaco","2012M08",1.0000
"Monaco","2012M09",1.0000
"Monaco","2012M10",1.0000
"Monaco","2012M11",1.0000
"Monaco","2012M12",1.0000
"Monaco","2013M01",1.0000
"Monaco","2013M02",1.0000
"Monaco","2013M03",1.0000
"Monaco","2013M04",1.0000
"Monaco","2013M05",1.0000
"Monaco","2013M06",1.0000
"Monaco","2013M07",1.0000
"Monaco","2013M08",1.0000
"Monaco","2013M09",1.0000
"Monaco","2013M10",1.0000
"Monaco","2013M11",1.0000
"Monaco","2013M12",1.0000
"Monaco","2014M01",1.0000
"Monaco","2014M02",1.0000
"Monaco","2014M03",1.0000
"Monaco","2014M04",1.0000
"Monaco","2014M05",1.0000
"Monaco","2014M06",1.0000
"Monaco","2014M07",1.0000
"Monaco","2014M08",1.0000
"Monaco","2014M09",1.0000
"Monaco","2014M10",1.0000
"Monaco","2014M11",1.0000
"Monaco","2014M12",1.0000
"Monaco","2015M01",1.0000
"Monaco","2015M02",1.0000
"Monaco","2015M03",1.0000
"Monaco","2015M04",1.0000
"Monaco","2015M05",1.0000
"Monaco","2015M06",1.0000
"Monaco","2015M07",1.0000
"Monaco","2015M08",1.0000
"Monaco","2015M09",1.0000
"Monaco","2015M10",1.0000
"Monaco","2015M11",1.0000
"Monaco","2015M12",1.0000
"Monaco","2016M01",1.0000
"Monaco","2016M02",1.0000
"Monaco","2016M03",1.0000
"Monaco","2016M04",1.0000
"Monaco","2016M05",1.0000
"Monaco","2016M06",1.0000
"Monaco","2016M07",1.0000
"Monaco","2016M08",1.0000
"Monaco","2016M09",1.0000
"Monaco","2016M10",1.0000
"Monaco","2016M11",1.0000
"Monaco","2016M12",1.0000
"Monaco","2017M01",1.0000
"Monaco","2017M02",1.0000
"Monaco","2017M03",1.0000
"Monaco","2017M04",1.0000
"Monaco","2017M05",1.0000
"Monaco","2017M06",1.0000
"Monaco","2017M07",1.0000
"Monaco","2017M08",1.0000
"Monaco","2017M09",1.0000
"Monaco","2017M10",1.0000
"Monaco","2017M11",1.0000
"Monaco","2017M12",1.0000
"Monaco","2018M01",1.0000
"Monaco","2018M02",1.0000
"Monaco","2018M03",1.0000
"Monaco","2018M04",1.0000
"Monaco","2018M05",1.0000
"Monaco","2018M06",1.0000
"Monaco","2018M07",1.0000
"Monaco","2018M08",1.0000
"Monaco","2018M09",1.0000
"Monaco","2018M10",1.0000
"Monaco","2018M11",1.0000
"Monaco","2018M12",1.0000
"Monaco","2019M01",1.0000
"Monaco","2019M02",1.0000
"Monaco","2019M03",1.0000
"Monaco","2019M04",1.0000
"Monaco","2019M05",1.0000
"Monaco","2019M06",1.0000
"Monaco","2019M07",1.0000
"Monaco","2019M08",1.0000
"Monaco","2019M09",1.0000
"Monaco","2019M10",1.0000
"Monaco","2019M11",1.0000
"Monaco","2019M12",1.0000
"Monaco","2020M01",1.0000
"Monaco","2020M02",1.0000
"Monaco","2020M03",1.0000
"Monaco","2020M04",1.0000
"Monaco","2020M05",1.0000
"Monaco","2020M06",1.0000
"Monaco","2020M07",1.0000
"Monaco","2020M08",1.0000
"Monaco","2020M09",1.0000
"Monaco","2020M10",1.0000
"Monaco","2020M11",1.0000
"Monaco","2020M12",1.0000
"Monaco","2021M01",1.0000
"Monaco","2021M02",1.0000
"Monaco","2021M03",1.0000
"Monaco","2021M04",1.0000
"Monaco","2021M05",1.0000
"Monaco","2021M06",1.0000
"Monaco","2021M07",1.0000
"Monaco","2021M08",1.0000
"Monaco","2021M09",1.0000
"Monaco","2021M10",1.0000
"Monaco","2021M11",1.0000
"Monaco","2021M12",1.0000
"Monaco","2022M01",1.0000
"Monaco","2022M02",1.0000
"Monaco","2022M03",1.0000
"Monaco","2022M04",1.0000
"Monaco","2022M05",1.0000
"Monaco","2022M06",1.0000
"Monaco","2022M07",1.0000
"Monaco","2022M08",1.0000
"Monaco","2022M09",1.0000
"Monaco","2022M10",1.0000
"Monaco","2022M11",1.0000
"Monaco","2022M12",1.0000
"Monaco","2023M01",1.0000
"Monaco","2023M02",1.0000
"Monaco","2023M03",1.0000
"Monaco","2023M04",1.0000
"Monaco","2023M05",1.0000
"Monaco","2023M06",1.0000
"Monaco","2023M07",1.0000
"Monaco","2023M08",1.0000
"Monaco","2023M09",1.0000
"Monaco","2023M10",1.0000
"Monaco","2023M11",1.0000
"Monaco","2023M12",1.0000
"Monaco","2024M01",1.0000
"Monaco","2024M02",1.0000
"Monaco","2024M03",1.0000
"Monaco","2024M04",1.0000
"Monaco","2024M05",1.0000
"Monaco","2024M06",1.0000
"Monaco","2024M07",1.0000
"Monaco","2024M08",1.0000
"Monaco","2024M09",1.0000
"Monaco","2024M10",1.0000
"Monaco","2024M11",1.0000
"Monaco","2024M12",1.0000
"Montenegro","2000M01",1.0000
"Montenegro","2000M02",1.0000
"Montenegro","2000M03",1.0000
"Montenegro","2000M04",1.0000
"Montenegro","2000M05",1.0000
"Montenegro","2000M06",1.0000
"Montenegro","2000M07",1.0000
"Montenegro","2000M08",1.0000
"Montenegro","2000M09",1.0000
"Montenegro","2000M10",1.0000
"Montenegro","2000M11",1.0000
"Montenegro","2000M12",1.0000
"Montenegro","2001M01",1.0000
"Montenegro","2001M02",1.0000
"Montenegro","2001M03",1.0000
"Montenegro","2001M04",1.0000
"Montenegro","2001M05",1.0000
"Montenegro","2001M06",1.0000
"Montenegro","2001M07",1.0000
"Montenegro","2001M08",1.0000
"Montenegro","2001M09",1.0000
"Montenegro","2001M10",1.0000
"Montenegro","2001M11",1.0000
"Montenegro","2001M12",1.0000
"Montenegro","2002M01",1.0000
"Montenegro","2002M02",1.0000
"Montenegro","2002M03",1.0000
"Montenegro","2002M04",1.0000
"Montenegro","2002M05",1.0000
"Montenegro","2002M06",1.0000
"Montenegro","2002M07",1.0000
"Montenegro","2002M08",1.0000
"Montenegro","2002M09",1.0000
"Montenegro","2002M10",1.0000
"Montenegro","2002M11",1.0000
"Montenegro","2002M12",1.0000
"Montenegro","2003M01",1.0000
"Montenegro","2003M02",1.0000
"Montenegro","2003M03",1.0000
"Montenegro","2003M04",1.0000
"Montenegro","2003M05",1.0000
"Montenegro","2003M06",1.0000
"Montenegro","2003M07",1.0000
"Montenegro","2003M08",1.0000
"Montenegro","2003M09",1.0000
"Montenegro","2003M10",1.0000
"Montenegro","2003M11",1.0000
"Montenegro","2003M12",1.0000
"Montenegro","2004M01",1.0000
"Montenegro","2004M02",1.0000
"Montenegro","2004M03",1.0000
"Montenegro","2004M04",1.0000
"Montenegro","2004M05",1.0000
"Montenegro","2004M06",1.0000
"Montenegro","2004M07",1.0000
"Montenegro","2004M08",1.0000
"Montenegro","2004M09",1.0000
"Montenegro","2004M10",1.0000
"Montenegro","2004M11",1.0000
"Montenegro","2004M12",1.0000
"Montenegro","2005M01",1.0000
"Montenegro","2005M02",1.0000
"Montenegro","2005M03",1.0000
"Montenegro","2005M04",1.0000
"Montenegro","2005M05",1.0000
"Montenegro","2005M06",1.0000
"Montenegro","2005M07",1.0000
"Montenegro","2005M08",1.0000
"Montenegro","2005M09",1.0000
"Montenegro","2005M10",1.0000
"Montenegro","2005M11",1.0000
"Montenegro","2005M12",1.0000
"Montenegro","2006M01",1.0000
"Montenegro","2006M02",1.0000
"Montenegro","2006M03",1.0000
"Montenegro","2006M04",1.0000
"Montenegro","2006M05",1.0000
"Montenegro","2006M06",1.0000
"Montenegro","2006M07",1.0000
"Montenegro","2006M08",1.0000
"Montenegro","2006M09",1.0000
"Montenegro","2006M10",1.0000
"Montenegro","2006M11",1.0000
"Montenegro","2006M12",1.0000
"Montenegro","2007M01",1.0000
"Montenegro","2007M02",1.0000
"Montenegro","2007M03",1.0000
"Montenegro","2007M04",1.0000
"Montenegro","2007M05",1.0000
"Montenegro","2007M06",1.0000
"Montenegro","2007M07",1.0000
"Montenegro","2007M08",1.0000
"Montenegro","2007M09",1.0000
"Montenegro","2007M10",1.0000
"Montenegro","2007M11",1.0000
"Montenegro","2007M12",1.0000
"Montenegro","2008M01",1.0000
"Montenegro","2008M02",1.0000
"Montenegro","2008M03",1.0000
"Montenegro","2008M04",1.0000
"Montenegro","2008M05",1.0000
"Montenegro","2008M06",1.0000
"Montenegro","2008M07",1.0000
"Montenegro","2008M08",1.0000
"Montenegro","2008M09",1.0000
"Montenegro","2008M10",1.0000
"Montenegro","2008M11",1.0000
"Montenegro","2008M12",1.0000
"Montenegro","2009M01",1.0000
"Montenegro","2009M02",1.0000
"Montenegro","2009M03",1.0000
"Montenegro","2009M04",1.0000
"Montenegro","2009M05",1.0000
"Montenegro","2009M06",1.0000
"Montenegro","2009M07",1.0000
"Montenegro","2009M08",1.0000
"Montenegro","2009M09",1.0000
"Montenegro","2009M10",1.0000
"Montenegro","2009M11",1.0000
"Montenegro","2009M12",1.0000
"Montenegro","2010M01",1.0000
"Montenegro","2010M02",1.0000
"Montenegro","2010M03",1.0000
"Montenegro","2010M04",1.0000
"Montenegro","2010M05",1.0000
"Montenegro","2010M06",1.0000
"Montenegro","2010M07",1.0000
"Montenegro","2010M08",1.0000
"Montenegro","2010M09",1.0000
"Montenegro","2010M10",1.0000
"Montenegro","2010M11",1.0000
"Montenegro","2010M12",1.0000
"Montenegro","2011M01",1.0000
"Montenegro","2011M02",1.0000
"Montenegro","2011M03",1.0000
"Montenegro","2011M04",1.0000
"Montenegro","2011M05",1.0000
"Montenegro","2011M06",1.0000
"Montenegro","2011M07",1.0000
"Montenegro","2011M08",1.0000
"Montenegro","2011M09",1.0000
"Montenegro","2011M10",1.0000
"Montenegro","2011M11",1.0000
"Montenegro","2011M12",1.0000
"Montenegro","2012M01",1.0000
"Montenegro","2012M02",1.0000
"Montenegro","2012M03",1.0000
"Montenegro","2012M04",1.0000
"Montenegro","2012M05",1.0000
"Montenegro","2012M06",1.0000
"Montenegro","2012M07",1.0000
"Montenegro","2012M08",1.0000
"Montenegro","2012M09",1.0000
"Montenegro","2012M10",1.0000
"Montenegro","2012M11",1.0000
"Montenegro","2012M12",1.0000
"Montenegro","2013M01",1.0000
"Montenegro","2013M02",1.0000
"Montenegro","2013M03",1.0000
"Montenegro","2013M04",1.0000
"Montenegro","2013M05",1.0000
"Montenegro","2013M06",1.0000
"Montenegro","2013M07",1.0000
"Montenegro","2013M08",1.0000
